"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","Verify that user can authenticate and receive a valid token using multiple credentials","","2026-02-08","passed","2026-02-08","","","",""
"","102","Admin can fetch main categories for dashboard filter","","2026-02-08","passed","2026-02-08","","","",""
"","122","Get categories with pagination","","2026-02-08","passed","2026-02-08","","","",""
"","111","TC_API_38 - Get plant by valid ID","","2026-02-08","broken","2026-02-08","","","",""
"","106","Create category with valid data","","2026-02-08","broken","2026-02-08","","","",""
"","111","TC_API_35 - Delete plant","","2026-02-08","broken","2026-02-08","","","",""
"","97","TC_API_34 - Update plant details","","2026-02-08","broken","2026-02-08","","","",""
"","105","Get category list","","2026-02-08","passed","2026-02-08","","","",""
"","101","TC_API_006 - User can retrieve sales list via API","","2026-02-08","passed","2026-02-08","","","",""
"","113","Filter category by parent","","2026-02-08","passed","2026-02-08","","","",""
"","95","TC_API_011 - User can sell a plant via API","","2026-02-08","broken","2026-02-08","","","",""
"","106","Update existing category","","2026-02-08","broken","2026-02-08","","","",""
"","123","Delete category","","2026-02-08","passed","2026-02-08","","","",""
"","99","Read-only user can fetch categories for dashboard","","2026-02-08","passed","2026-02-08","","","",""
"","123","TC_API_002 - Create sale exceeding stock","","2026-02-08","broken","2026-02-08","","","",""
"","125","Admin can fetch category summary for dashboard","","2026-02-08","passed","2026-02-08","","","",""
"","98","TC_API_001 - Admin can sell a plant via API","","2026-02-08","broken","2026-02-08","","","",""
"","96","Search category by name","","2026-02-08","passed","2026-02-08","","","",""
"","128","Admin can fetch plant summary for dashboard","","2026-02-08","passed","2026-02-08","","","",""
"","88","Admin can fetch all categories for dashboard","","2026-02-08","passed","2026-02-08","","","",""
"","113","TC_API_42 - Get plant by invalid ID","","2026-02-08","passed","2026-02-08","","","",""
"","4","TC_API_41 - Access API without authentication","","2026-02-08","passed","2026-02-08","","","",""
"","5","Unauthenticated request to categories returns 401","","2026-02-08","passed","2026-02-08","","","",""
"","284","Verify that login with empty credentials return 401 using multiple inputs","","2026-02-08","passed","2026-02-08","","","",""
"","103","Create category without name","","2026-02-08","broken","2026-02-08","","","",""
"","109","TC_API_40 - Get plants by category ID","","2026-02-08","broken","2026-02-08","","","",""
"","115","TC_API_004 - Delete sale","","2026-02-08","broken","2026-02-08","","","",""
"","93","TC_API_009 - Get sale by Invalid ID","","2026-02-08","passed","2026-02-08","","","",""
"","113","API health check returns 200 OK when authenticated","","2026-02-08","passed","2026-02-08","","","",""
"","99","Create category with invalid name length","","2026-02-08","passed","2026-02-08","","","",""
"","102","TC_API_31 - View plant list","","2026-02-08","passed","2026-02-08","","","",""
"","117","TC_API_007 - Get sale by valid ID","","2026-02-08","broken","2026-02-08","","","",""
"","139","TC_API_33 - Create plant with empty fields","","2026-02-08","passed","2026-02-08","","","",""
"","115","TC_API_008 - Get sales with pagination","","2026-02-08","broken","2026-02-08","","","",""
"","113","TC_API_003 - Get sales list","","2026-02-08","passed","2026-02-08","","","",""
"","138","Admin can fetch all sales for dashboard","","2026-02-08","passed","2026-02-08","","","",""
"","84","Run pretest hook only","","2026-02-08","passed","2026-02-08","","","",""
"","217","Verify login for multiple user roles and role-specific claims","","2026-02-08","passed","2026-02-08","","","",""
"","95","TC_API_010 - Check application health status","","2026-02-08","passed","2026-02-08","","","",""
"","174","Verify that login with invalid credentials return 401 using multiple inputs","","2026-02-08","passed","2026-02-08","","","",""
"","93","Admin can fetch all plants for dashboard","","2026-02-08","passed","2026-02-08","","","",""
"","97","Read-only user cannot create category (bad request)","","2026-02-08","passed","2026-02-08","","","",""
"","131","TC_API_32 - Create plant with valid data","","2026-02-08","broken","2026-02-08","","","",""
"","92","Sort category list","","2026-02-08","passed","2026-02-08","","","",""
"","88","TC_API_005 - Pagination API","","2026-02-08","broken","2026-02-08","","","",""
"","111","TC_API_37 - View plant list","","2026-02-08","passed","2026-02-08","","","",""
